uid,domainID,siteID,namedLocation,collectDate,identifiedDate,sampleID,sampleCode,slideID,acceptedTaxonID,targetTaxaPresent,scientificName,morphospeciesID,taxonRank,phylum,subphylum,class,subclass,infraclass,superorder,order,suborder,infraorder,superfamily,family,subfamily,tribe,subtribe,genus,specificEpithet,infraspecificEpithet,invertebrateLifeStage,sizeClass,sizeCategory,individualCount,subsamplePercent,estimatedTotalCount,immatureSpecimen,indeterminateSpecies,taxonRankQualifier,sampleCondition,distinctTaxon,identificationQualifier,identificationReferences,qcChecked,laboratoryName,identifiedBy,identificationRemarks,identificationHistoryID,dataQF,publicationDate,release
d83801ac-02dd-4ce2-a2a0-877842f2dad6,D17,BIGC,BIGC.AOS.reach,2021-11-16T17:32:00Z,2022-05-20T00:00:00Z,BIGC.20211116.SURBER.1,A00000299180,BA22NEOMST08011O1,NAISP,Y,Naididae sp.,NA,family,Annelida,Clitellata,Oligochaeta,Oligochaeta,NA,NA,Tubificida,NA,NA,NA,Naididae,NA,NA,NA,NA,sp.,NA,immature,2,NA,1,10,10,Y,N,NA,condition OK,Y,NA,"Kathman and Brinkhurst, 1999",N,"Rhithron Associates, Inc.",J. Webb,unique,NA,NA,20231228T000353Z,RELEASE-2024
9958a044-7573-49e7-9a76-4c2c9ff1a961,D17,BIGC,BIGC.AOS.reach,2021-11-16T17:32:00Z,2022-05-23T00:00:00Z,BIGC.20211116.SURBER.2,A00000299193,NA,LEBSP1,Y,Lebertia sp.,NA,genus,Arthropoda,Chelicerata,Arachnida,Acari,NA,Acariformes,Trombidiformes,Prostigmata,NA,Lebertioidea,Lebertiidae,NA,NA,NA,Lebertia,sp.,NA,adult,1,NA,11,13,85,N,N,NA,condition OK,Y,NA,Thorp and Rogers 2016,N,"Rhithron Associates, Inc.",J. Webb,NA,NA,NA,20231228T000353Z,RELEASE-2024
ef1e0623-ad40-4873-82a5-62d7cfa1ce5e,D17,BIGC,BIGC.AOS.reach,2021-11-16T17:32:00Z,2022-05-23T00:00:00Z,BIGC.20211116.SURBER.1,A00000299180,NA,EUBEDW,Y,Eubrianax edwardsii,NA,species,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Holometabola,Coleoptera,Polyphaga,Elateriformia,Byrrhoidea,Psephenidae,Eubrianacinae,NA,NA,Eubrianax,edwardsii,NA,larva,3,NA,1,10,10,N,N,NA,condition OK,Y,NA,Merritt et al. 2019,N,"Rhithron Associates, Inc.",J. Webb,NA,NA,NA,20231228T000353Z,RELEASE-2024
e3fefc70-2ce9-459f-8b13-bdf389193335,D17,BIGC,BIGC.AOS.reach,2021-11-16T17:32:00Z,2022-05-23T00:00:00Z,BIGC.20211116.SURBER.3,A00000299195,NA,DIPHAG,Y,Diphetor hageni,NA,species,Arthropoda,Hexapoda,Insecta,Pterygota,Palaeoptera,NA,Ephemeroptera,Pisciforma,NA,NA,Baetidae,NA,NA,NA,Diphetor,hageni,NA,larva,1,NA,3,90,3,N,N,NA,condition OK,Y,NA,Morihara and McCafferty 1987; Meyer and McCafferty 2001; Merritt et al. 2019,Y,"Rhithron Associates, Inc.",B. Moore,NA,NA,NA,20231228T000353Z,RELEASE-2024
c9dfbc95-0d89-466e-9b85-0d9cf1329043,D17,BIGC,BIGC.AOS.reach,2021-11-16T17:32:00Z,2022-05-23T00:00:00Z,BIGC.20211116.SURBER.1,A00000299180,NA,BAETRI2,Y,Baetis tricaudatus cx.,NA,speciesGroup,Arthropoda,Hexapoda,Insecta,Pterygota,Palaeoptera,NA,Ephemeroptera,NA,NA,NA,Baetidae,NA,NA,NA,Baetis,tricaudatus cx.,NA,larva,6,NA,1,10,10,N,N,NA,condition OK,Y,NA,"Morihara and McCafferty 1979; Wiersema, 2004; Webb et al. 2018",N,"Rhithron Associates, Inc.",J. Webb,NA,NA,NA,20231228T000353Z,RELEASE-2024
e710b822-fb2a-4ba4-9abe-e8238908f844,D17,BIGC,BIGC.AOS.reach,2021-11-16T17:32:00Z,2022-05-19T00:00:00Z,BIGC.20211116.SURBER.3,A00000299195,NA,SYNSP3,Y,Synorthocladius sp.,NA,genus,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Holometabola,Diptera,Nematocera,Culicomorpha,NA,Chironomidae,Orthocladiinae,NA,NA,Synorthocladius,sp.,NA,larva,1,NA,1,90,1,N,N,NA,condition OK,Y,NA,"Weiderholm, 1983; Weiderholm, 1986; Epler 2001; Ferrington et al. 2019; Andersen, Cranston and Epler 2013",Y,"Rhithron Associates, Inc.",R. Spring,NA,NA,NA,20231228T000353Z,RELEASE-2024
c1ce95c9-286a-4ded-8b09-057fac99da71,D17,BIGC,BIGC.AOS.reach,2021-11-16T17:32:00Z,2022-05-24T00:00:00Z,BIGC.20211116.SURBER.2,A00000299193,NA,CRISP6,Y,Cricotopus/Orthocladius sp.,NA,speciesGroup,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Holometabola,Diptera,Nematocera,Culicomorpha,NA,Chironomidae,Orthocladiinae,NA,NA,Cricotopus/Orthocladius,sp.,NA,larva,4,NA,2,13,15,Y,N,early instar,condition OK,Y,NA,"Weiderholm, 1983; Weiderholm, 1986; Epler 2001; Ferrington et al. 2008; Andersen, Cranston and Epler 2013",N,"Rhithron Associates, Inc.",A. Fasbender,NA,NA,NA,20231228T000353Z,RELEASE-2024
6607fa94-e308-444d-b1b6-5d7c069b99d9,D17,BIGC,BIGC.AOS.reach,2021-11-16T17:32:00Z,2022-05-31T00:00:00Z,BIGC.20211116.HESS.5,A00000299143,NA,PARSP25,Y,Parakiefferiella sp.,NA,genus,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Holometabola,Diptera,Nematocera,Culicomorpha,NA,Chironomidae,Orthocladiinae,NA,NA,Parakiefferiella,sp.,NA,larva,2,NA,3,20,15,N,N,NA,condition OK,Y,NA,"Weiderholm, 1983; Weiderholm, 1986; Epler 2001; Ferrington et al. 2019; Andersen, Cranston and Epler 2013",N,"Rhithron Associates, Inc.",R. Spring,NA,NA,NA,20231228T000353Z,RELEASE-2024
4723c9eb-4f10-4c45-9c00-11002ca0a0ac,D17,BIGC,BIGC.AOS.reach,2021-11-16T17:32:00Z,2022-05-31T00:00:00Z,BIGC.20211116.HESS.3,A00000298951,NA,TANSP11,Y,Tanytarsus sp.,NA,genus,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Holometabola,Diptera,Nematocera,Culicomorpha,NA,Chironomidae,Chironominae,Tanytarsini,NA,Tanytarsus,sp.,NA,larva,1,NA,5,80,6,N,N,NA,condition OK,Y,NA,"Weiderholm, 1983; Weiderholm, 1986; Epler 2001; Ferrington et al. 2019; Andersen, Cranston and Epler 2013",N,"Rhithron Associates, Inc.",R. Spring,NA,NA,NA,20231228T000353Z,RELEASE-2024
4a15f2dc-c16c-43c0-be9e-e788cd978763,D17,BIGC,BIGC.AOS.reach,2021-11-16T17:32:00Z,2022-05-21T00:00:00Z,BIGC.20211116.HESS.3,A00000298951,BA22NEOMST08014O1,NAICOM,Y,Nais communis/variabilis,NA,speciesGroup,Annelida,Clitellata,Oligochaeta,Oligochaeta,NA,NA,Tubificida,NA,NA,NA,Naididae,Naidinae,NA,NA,Nais,communis/variabilis,NA,immature,2,NA,9,80,11,Y,N,NA,condition OK,Y,NA,"Kathman and Brinkhurst, 1999",N,"Rhithron Associates, Inc.",J. Webb,NA,NA,NA,20231228T000353Z,RELEASE-2024
